# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             286   N   000007a6   00f82023   000007a8   ---        --------
             288   N   000007a8   00000885   000007ac   ---        --------
             289   N   000007ac   ff5ff06f   000007ae   x17_a7     00001698
             290   N   000007ae   08851717   000007a2   ---        --------
             295   N   000007a2   0000c791   000007a6   x15_a5     00000020
             296   N   000007a6   00f82023   000007a8   ---        --------
             298   N   000007a8   00000885   000007ac   ---        --------
             299   N   000007ac   ff5ff06f   000007ae   x17_a7     00001699
             300   N   000007ae   08851717   000007a2   ---        --------
             305   N   000007a2   0000c791   000007a6   x15_a5     00000020
             306   N   000007a6   00f82023   000007a8   ---        --------
             308   N   000007a8   00000885   000007ac   ---        --------
             309   N   000007ac   ff5ff06f   000007ae   x17_a7     0000169a
             310   N   000007ae   08851717   000007a2   ---        --------
             315   N   000007a2   0000c791   000007a6   x15_a5     00000020
             316   N   000007a6   00f82023   000007a8   ---        --------
             318   N   000007a8   00000885   000007ac   ---        --------
             319   N   000007ac   ff5ff06f   000007ae   x17_a7     0000169b
             320   N   000007ae   08851717   000007a2   ---        --------
             325   N   000007a2   0000c791   000007a6   x15_a5     00000020
             326   N   000007a6   00f82023   000007a8   ---        --------
             328   N   000007a8   00000885   000007ac   ---        --------
             329   N   000007ac   ff5ff06f   000007ae   x17_a7     0000169c
             330   N   000007ae   08851717   000007a2   ---        --------
             335   N   000007a2   0000c791   000007a6   x15_a5     00000020
             336   N   000007a6   00f82023   000007a8   ---        --------
             338   N   000007a8   00000885   000007ac   ---        --------
             339   N   000007ac   ff5ff06f   000007ae   x17_a7     0000169d
             340   N   000007ae   08851717   000007a2   ---        --------
             345   N   000007a2   0000c791   000007a6   x15_a5     00000000
             346   N   000007a6   00f82023   000007b2   ---        --------
             350   N   000007b2   20230713   000007b6   x14_a4     000017b2
             352   N   000007b6   0000c311   000007ba   x14_a4     000016c0
             353   N   000007ba   00008702   000007bc   ---        --------
             354   N   000007bc   34202773   000016c0   ---        --------
             357   N   000016c0   342022f3   000016c2   x06_t1     00000003
             358   N   000016c2   430d91e3   000016c6   x05_t0     00000003
             360   N   000016c6   34200317   000016ca   ---        --------
             362   N   000016ca   fe620313   000016ce   x06_t1     000016ca
             364   N   000016ce   000022f3   000016d2   x06_t1     000016a0
             366   N   000016d2   fd6399e3   000016d6   x05_t0     000016a0
             368   N   000016d6   0000bfe9   000016da   ---        --------
             369   N   000016da   00000073   000016b4   ---        --------
             372   N   000016b4   000085f2   000016b8   ---        --------
             373   N   000016b8   00004501   000016ba   x11_a1     00000002
             374   N   000016ba   00000073   000016bc   x10_a0     00000000
             375   E   000016bc   0000430d   00000780   mstatus    00001800
             375   E   000016bc   0000430d   00000780   mepc       000016bc
             375   E   000016bc   0000430d   00000780   mcause     0000000b
             375   E   000016bc   0000430d   00000780   mtval      00000000
             378   N   00000780   000047a1   00000784   x14_a4     0000000b
             379   N   00000784   04f70263   00000786   x15_a5     00000008
             380   N   00000786   000047a5   0000078a   ---        --------
             381   N   0000078a   02f70f63   0000078c   x15_a5     00000009
             382   N   0000078c   000047ad   00000790   ---        --------
             383   N   00000790   02f70c63   00000792   x15_a5     0000000b
             384   N   00000792   47ad0837   000007ca   ---        --------
             388   N   000007ca   08370013   00001700   ---        --------
             391   N   00001700   9f428293   00001704   x05_t0     00000700
             392   N   00001704   00008282   00001708   x05_t0     000000f4
             393   N   00001708   00000013   000000f4   ---        --------
             396   N   000000f4   0000006f   000000f8   ---        --------
             397   N   000000f8   ffffffff   000000f8   ---        --------
